NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,NRec,Doppelt,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,number of correct answer,number of False answer,correct Recall rate,False recall rate,Present Recall rate,Past Recall rate,Other Recall rate,Present FPR,Past FPR,Other FPR,Positive Recall,Neg Recall,Neutral Recalkl
75,132,BERD1260,77387,5,26,f,1.0,,21344,5.0,0.0,liebevoll,wuetend,herzlos,unbeirrbar,stolz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.8,0.19999999999999996,0.06666666666666667,0.2,0.0,0.9333333333333333,0.8,1.0,0,1,2
76,107,DOLY2151,77082,1,20,f,1.0,,132888,13.0,0.0,klein,beschaulich,dumm,intellektuell,asozial,klug,ungesund,ehrlich,bedacht,couragiert,zaertlich,pessimistisch,optimistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1.0,0.0,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.6666666666666667,0.7333333333333334,0.7333333333333334,4,4,2
77,135,HAH2599,77395,2,20,f,1.0,,81068,10.0,1.0,zahm,klein,vorhersehbar,zahm,klug,optimistisch,pessimistisch,haesslich,wertlos,kurz,ruhig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.9,0.09999999999999998,0.13333333333333333,0.4666666666666667,0.06666666666666667,0.8666666666666667,0.5333333333333333,0.9333333333333333,2,2,2
78,139,HEEO0353,77402,2,27,f,1.0,,17852,3.0,0.0,klug,kompetent,bedacht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.6666666666666666,0.33333333333333337,0.0,0.06666666666666667,0.06666666666666667,1.0,0.9333333333333333,0.9333333333333333,1,0,1
79,215,Ulld05un,78134,5,20,f,1.0,,153822,13.0,0.0,heftig,lieblos,geliebt,wuetend,aengstlich,warmherzig,talentiert,wundervoll,bildschoen,frustriert,stolz,enthusiastisch,froehlich ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,0.9230769230769231,0.07692307692307687,0.2,0.4666666666666667,0.13333333333333333,0.8,0.5333333333333333,0.8666666666666667,5,2,2
80,142,NENK2765,77406,5,23,f,1.0,,159702,11.0,0.0,heftig,unkonventionell,religioes,opportunistisch,wundervoll,geliebt,begehrt,bildschoen,fromm,aengstlich,eigenwillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0.9090909090909091,0.09090909090909094,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.9333333333333333,0.6666666666666667,0.7333333333333334,2,0,5
81,144,Kuas2565,77412,2,27,f,1.0,,99993,11.0,0.0,kurz,klug,zaertlich,still,simpel,durchschnittlich,haesslich,intellektuell,couragiert,klein,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,1.0,0.0,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.7333333333333334,0.6666666666666667,0.8666666666666667,3,0,3
82,146,NELF2051,77415,3,28,f,1.0,,97685,7.0,0.0,kurz,schuechtern,intellektuell,dumm,simpel,gemuetlich,zahm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,1.0,0.0,0.26666666666666666,0.0,0.2,0.7333333333333334,1.0,0.8,0,1,1
83,208,HAER2667,77729,1,26,f,1.0,,103194,9.0,0.0,klug,klein,kurz,unsympathisch,krank,still,durchschnittlich,couragiert,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,1.0,0.0,0.2,0.2,0.2,0.8,0.8,0.8,2,2,4
84,209,SIEL2672,77731,5,20,f,1.0,,210813,22.0,1.0,depressiv,froehlich,aengstlich,heftig,fromm,unkonventionell,verletzt,wuetend,individualistisch,besorgt,religioes,unbeirrbar,frustriert,diktatorisch,intelligent,geliebt,talentiert,herzlos,freundlich,stolz,unkonventionell,bildschoen,,,,,,,,,,,,,,,,,,,,,,,,21,0,1.0,0.0,0.4666666666666667,0.6,0.4,0.5333333333333333,0.4,0.6,4,5,8
85,149,LYLU2455,77431,6,24,f,1.0,,252473,12.0,0.0,freundlich,gluecklich,wuetend,herzlos,unbeirrbar,emotional,geliebt,talentiert,schoen,zufrieden,religioes,leidend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,0.8333333333333334,0.16666666666666663,0.4,0.06666666666666667,0.2,0.6,0.9333333333333333,0.8,3,2,2
86,239,ad2858,78933,1,30,f,1.0,,leer,12.0,0.0,fortschrittlich,zahm,zuverlaessig,intellektuell,krank,behindert,entstellt,sympathisch,zaertlich,klein,kurz,unvorhersehbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,0.9166666666666666,0.08333333333333337,0.06666666666666667,0.26666666666666666,0.4,0.9333333333333333,0.7333333333333334,0.6,1,2,2
87,150,MAIK2568,77433,1,25,m,1.0,,185940,12.0,0.0,kurz,introvertiert,sorgsam,zaertlich,pessimistisch,optimistisch,durchschnittlich,gut,unsympathisch,klein,schuechtern,zuverlaessig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,0.9166666666666666,0.08333333333333337,0.26666666666666666,0.06666666666666667,0.4,0.7333333333333334,0.9333333333333333,0.6,1,2,3
88,243,DOED3150,78938,2,21,f,1.0,,13268,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0
89,247,NAND2464,78947,6,22,f,,,54495,8.0,0.0,opportunistisch,feindselig,gluecklich,talentiert,intelligent,frustriert,individuell,ungluecklich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,0.875,0.125,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.6666666666666667,0.9333333333333333,0.9333333333333333,2,2,1
90,153,REHO3054,77439,4,28,f,,,106883,16.0,0.0,fromm,religioes,unbeirrbar,opportunistisch,bildschoen,eigensinnig,hasserfuellt,diktatorisch,verletzt,stolz,selbstzufrieden,talentiert,unsicher ,unkonventionell,warmherzig,leidenschaftlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0.9375,0.0625,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.7333333333333334,0.7333333333333334,0.5333333333333333,3,2,7
91,155,scas0760,77441,4,28,m,,,44699,,0.0,fromm,religioes,heftig,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1.0,0.0,0.06666666666666667,0.0,0.2,0.9333333333333333,1.0,0.8,0,0,3
92,156,SCAN1265,77442,5,22,f,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0
93,160,GIPP2463,77449,6,29,m,,,147579,6.0,0.0,religioes,heftig,lieblos,opportunistisch,intelligent,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1.0,0.0,0.3333333333333333,0.0,0.06666666666666667,0.6666666666666667,1.0,0.9333333333333333,2,1,2
94,161,SCAN1265,77450,2,22,f,,,157899,10.0,0.0,pessimistisch,haesslich,klug,zahm,zaertlich,introvertiert,ruhig,hasserfuellt,kurz,kompetent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0.8,0.19999999999999996,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.9333333333333333,0.6666666666666667,0.8666666666666667,1,1,3
95,163,kaan672,77452,5,19,f,,,171328,14.0,0.0,wuetend,gluecklich,froehlich,fromm,gläubig,wundervoll,lieblos,herzlos,intelligent,unbeirrbar,unkonventionell,diktatorisch,unsicher,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,0.9285714285714286,0.0714285714285714,0.26666666666666666,0.4666666666666667,0.13333333333333333,0.7333333333333334,0.5333333333333333,0.8666666666666667,3,4,3
96,255,Jaeo1363,78964,4,23,f,,,94691,7.0,0.0,opportunistisch,wundervoll,talentiert,wuetend,ungluecklich,selbstzufrieden,heftig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,1.0,0.0,0.06666666666666667,0.0,0.4,0.9333333333333333,1.0,0.6,2,0,3
97,171,KLIN0656,77467,1,23,f,,,199712,8.0,0.0,kurz,beschaulich,klein,zaertlich,zahm,dumm,klug,schuechtern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1.0,0.0,0.0,0.2,0.3333333333333333,1.0,0.8,0.6666666666666667,1,1,2
98,230,SOLO2253,78619,1,26,f,,,94964,7.0,0.0,kurz,dumm,unsympathisch,still,ruhig,ehrlich,pessimistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,1.0,0.0,0.13333333333333333,0.2,0.13333333333333333,0.8666666666666667,0.8,0.8666666666666667,1,3,3
99,258,Ster2153,78970,2,26,f,,,71155,9.0,0.0,simpel,kurz,sympathisch,unsympathisch,aufmerksam,schuechtern,zaertlich,loyal,durchschnittlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.8888888888888888,0.11111111111111116,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.9333333333333333,0.6666666666666667,0.8666666666666667,2,1,2
100,170,Evas0164,77469,3,25,f,,,142008,14.0,0.0,kurz,klein,zahm,still,schuechtern,schoen,simpel,klug,intellektuell,mutig,entstellt,krank,ungesund,sensibel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,0.8571428571428571,0.1428571428571429,0.4,0.0,0.4,0.6,1.0,0.6,1,2,2
101,175,HÖLS0565,77473,4,21,f,,,224784,16.0,0.0,opportunistisch,gluecklich,heftig,leidenschaftlich,lieblos,wuetend,schmerzhaft,charmant,warmherzig,religioes,fromm,aengstlich,unsicher,frustriert,talentiert,bildschoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,1.0,0.0,0.3333333333333333,0.06666666666666667,0.6666666666666666,0.6666666666666667,0.9333333333333333,0.33333333333333337,4,4,3
102,297,DEEL1841,78975,6,23,f,,,108431,7.0,0.0,heftig,leidenschaftlich,religioes,unkonventionell,stolz,wuetend,aengstlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,1.0,0.0,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.6666666666666667,0.9333333333333333,0.9333333333333333,1,0,3
103,325,JAAU1775,79223,6,43,f,,,141343,8.0,0.0,warmherzig,leidenschaftlich,wundervoll,heftig,hasserfuellt,opportunistisch,talentiert,religioes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1.0,0.0,0.4666666666666667,0.0,0.06666666666666667,0.5333333333333333,1.0,0.9333333333333333,4,0,2
104,173,ZAS363,77476,6,26,f,,,91597,11.0,0.0,opportunistisch,ungluecklich,warmherzig,geliebt,leidenschaftlich,egoistisch,heftig,stolz,talentiert,religioes,bereitwillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,1.0,0.0,0.4666666666666667,0.0,0.26666666666666666,0.5333333333333333,1.0,0.7333333333333334,4,1,4
105,328,DÜNK1262,79233,6,23,f,,,174595,16.0,0.0,opportunistisch,froehlich,wuetend,egoistisch,depressiv,leidenschaftlich,hasserfuellt,aengstlich,unbeirrbar,geliebt,bildschoen,enthusiastisch,intelligent,unkonventionell,leidend,diktatorisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,1.0,0.0,0.3333333333333333,0.26666666666666666,0.4666666666666667,0.6666666666666667,0.7333333333333334,0.5333333333333333,4,4,3
106,177,LJIR0477,77490,3,19,f,,,70086,8.0,0.0,kurz,winzig,unvorhersehbar,schuechtern,loyal,klug,dumm,huebsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,0.875,0.125,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.7333333333333334,0.9333333333333333,0.8666666666666667,2,1,3
107,352,BRRR1859,79509,6,23,f,,,102397,11.0,1.0,opportunistisch,lieblos,bildschoen,enthusiastisch,heftig,wuetend,unbeirrbar,intelligent,lieblos,geliebt,warmherzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,1.0,0.0,0.4666666666666667,0.06666666666666667,0.2,0.5333333333333333,0.9333333333333333,0.8,4,2,3
108,231,BRNS2065,78674,2,24,f,,,105513,12.0,0.0,kurz,winzig,klein,zaertlich,wertlos,haesslich,unsympathisch,schuechtern,hoffnungsvoll,vorhersehbar,schlau,unfreundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,0.8333333333333334,0.16666666666666663,0.2,0.4,0.06666666666666667,0.8,0.6,0.9333333333333333,1,3,2
109,265,Klrd1152,78984,5,27,m,,,63775,7.0,0.0,hasserfuellt,fromm,leidenschaftlich,opportunistisch,gluecklich,geliebt,glaeubig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0.8571428571428571,0.1428571428571429,0.13333333333333333,0.2,0.06666666666666667,0.8666666666666667,0.8,0.9333333333333333,2,0,2
110,329,dulf1296,79254,2,24,f,,,246155,15.0,0.0,unsympathisch,kurz,klein,optimistisch,fortschrittlich,pessimistisch,behindert,introvertiert,still,schuechtern,durchschnittlich,zuverlaessig,gut,intellektuell,deformiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,1.0,0.0,0.2,0.4,0.4,0.8,0.6,0.6,2,4,4
111,19,Rian1562,76643,3,25,f,,,5219,1.0,0.0,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1.0,0.0,0.06666666666666667,0.0,0.0,0.9333333333333333,1.0,1.0,0,0,0
112,331,asoi509,79275,2,24,f,0.0,,,,0.0,kurz,zart,sympathisch,introvertiert,pessimistisch,optimistisch,haesslich,klug,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,0.7777777777777778,0.2222222222222222,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.9333333333333333,0.7333333333333334,0.8666666666666667,3,1,2
113,210,EILM2250,77747,3,34,m,,,165550,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0
114,199,WELR1208,77636,4,51,m,,,203418,7.0,0.0,warmherzig,euphorisch,enthusiastisch,hasserfuellt,liebevoll,ehrgeizig,religioes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0.5714285714285714,0.4285714285714286,0.0,0.13333333333333333,0.13333333333333333,1.0,0.8666666666666667,0.8666666666666667,2,0,0
115,21,WAUT0934,76656,6,54,f,,,197892,11.0,0.0,opportunistisch,religioes,wuetend,fromm,lieblos,ungeliebt,enthusiastisch,aengstlich,leidenschaftlich,humorvoll,traurig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,0.7272727272727273,0.2727272727272727,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.6666666666666667,0.8666666666666667,0.9333333333333333,2,1,2
116,22,wert9014,76657,3,75,f,,,152462,4.0,0.0,schüchtern,kurz,klein,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.8666666666666667,1.0,0.8666666666666667,1,0,2
117,23,BALF1462,76658,5,21,m,,,119026,8.0,0.0,opportunistisch,gluecklich,heftig,wuetend,herzlos,talentiert,wundervoll,intelligent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1.0,0.0,0.06666666666666667,0.4666666666666667,0.0,0.9333333333333333,0.5333333333333333,1.0,3,1,2
118,201,VEAS1061,77639,3,23,f,,,98497,9.0,0.0,klein,unvorhersehbar,inkompetent,zaertlich,klug,haesslich,schuechtern,hoffnungsvoll,still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,1.0,0.0,0.4,0.0,0.2,0.6,1.0,0.8,2,1,2
119,27,KLIN0256,76663,4,26,f,,,48439,10.0,0.0,heftig,leidenschaftlich,depressiv,traurig,gluecklich,ungluecklich,opportunistisch,liebevoll,talentiert,boeswillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,0.7,0.30000000000000004,0.06666666666666667,0.0,0.4,0.9333333333333333,1.0,0.6,2,1,2
120,109,wert2530,77139,2,60,m,,,55626,3.0,0.0,kurz,inkompetent,schuechtern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1.0,0.0,0.0,0.2,0.0,1.0,0.8,1.0,0,1,1
121,29,DARD2975,76668,3,19,f,,,243713,9.0,0.0,unvorhersehbar,schuechtern,kurz,unsympathisch,loyal,zuverlaessig,theatralisch,unueblich,ehrlich ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.8888888888888888,0.11111111111111116,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.6666666666666667,0.9333333333333333,0.8666666666666667,1,1,3
122,112,heio2468,77146,5,23,f,,,183742,21.0,0.0,verletzt,herzlos,egoistisch,bereitwillig,intelligent,hasserfuellt,wuetend,enthusiastisch,depressiv,ungluecklich,leidenschaftlich,opportunistisch,religioes,fromm,warmherzig,freundlich,impulsiv,unbeirrbar,talentiert,brilliant,stolz,,,,,,,,,,,,,,,,,,,,,,,,,21,0,1.0,0.0,0.6,0.6,0.2,0.4,0.4,0.8,7,4,6
123,334,Ged0689,79300,6,31,m,,,210912,4.0,0.0,opportunistisch,gereizt,wuetend,liebevoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0.5,0.5,0.13333333333333333,0.0,0.0,0.8666666666666667,1.0,1.0,0,0,1
124,202,PAIM1567,77646,1,22,f,,,156438,10.0,0.0,kurz,winzig,mutig,fortschrittlich,kreativ,couragiert,durchschnittlich,optimistisch,pessimistisch,unfreundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.9,0.09999999999999998,0.26666666666666666,0.13333333333333333,0.2,0.7333333333333334,0.8666666666666667,0.8,3,2,3
125,211,HAKO1263,77750,6,28,m,,,132117,10.0,0.0,hasserfuellt,unkonventionell,lieblos,unbeirrbar,freundlich,geliebt,leidenschaftlich,heftig,enthusiastisch,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,1.0,0.0,0.4,0.0,0.26666666666666666,0.6,1.0,0.7333333333333334,4,1,4
126,191,niko0859,77587,6,33,f,,,leer,9.0,0.0,opportunistisch,religioes,eigenwillig,geliebt,fromm,konventionell,warmherzig,bildhuebsch,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,0.7777777777777778,0.2222222222222222,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.7333333333333334,0.8666666666666667,0.9333333333333333,3,0,3
127,31,raan0553,76717,1,35,m,,,109851,14.0,0.0,zahm,unsympathisch,klug,loyal,zuverlaessig,unzuverlaessig,optimistisch,pessimistisch,hoffnungsvoll,kurz,lang,winzig,schlecht ,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,0.7857142857142857,0.2142857142857143,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.8666666666666667,0.8666666666666667,0.5333333333333333,4,2,2
128,193,RONN1857,77597,2,26,f,,,158589,13.0,0.0,kurz,unsympathisch,winzig,zaertlich,couragiert,dumm,theatralisch,zuverlaessig,haesslich,pessimistisch,behindert,ungesund,vorhersehbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,0.9230769230769231,0.07692307692307687,0.06666666666666667,0.4,0.3333333333333333,0.9333333333333333,0.6,0.6666666666666667,1,5,3
129,212,coel1864,77817,2,23,f,,,154510,13.0,0.0,klein,zahm,winzig,unvorhersehbar,loyal,haesslich,dumm,hoffnungsvoll,kurz,unfreundlich,schuechtern,intellektuell,ungesund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1.0,0.0,0.4,0.4,0.06666666666666667,0.6,0.6,0.9333333333333333,2,3,3
130,38,Luke2860,76733,6,20,f,,,13561,1.0,0.0,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1.0,0.0,0.06666666666666667,0.0,0.0,0.9333333333333333,1.0,1.0,0,0,1
131,43,BRAF1564,76742,1,22,f,,,108506,13.0,0.0,kurz,unvorhersehbar,klein,klug,optimistisch,unsympathisch,unfreundlich,loyal,zuverlaessig,unueblich,behindert,entstellt,deformiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1.0,0.0,0.13333333333333333,0.3333333333333333,0.4,0.8666666666666667,0.6666666666666667,0.6,3,4,2
132,195,HOIN0750,77606,6,21,f,,,192097,18.0,1.0,religioes,fromm,bereitwillig,wuetend,aengstlich,stolz,opportunistisch,hasserfuellt,lieblos,depressiv,individualistisch,enthusiastisch,charmant,geliebt,unsicher,unbeirrt,bereitwillig,diktatorisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,0.9411764705882353,0.05882352941176472,0.26666666666666666,0.3333333333333333,0.5333333333333333,0.7333333333333334,0.6666666666666667,0.4666666666666667,3,4,6
133,49,dx7ssxs2,76745,5,57,m,,,leer,4.0,0.0,ehrgeizig,ausgeglichen,opportunistisch,zufrieden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0.25,0.75,0.0,0.06666666666666667,0.0,1.0,0.9333333333333333,1.0,0,0,1
134,197,TEUS1864,77611,3,22,f,,,leer,8.0,0.0,kurz,schuechtern,zahm,zaertlich,klein,verkommen,intellektuell,gesund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,0.75,0.25,0.26666666666666666,0.0,0.13333333333333333,0.7333333333333334,1.0,0.8666666666666667,0,0,1
135,353,waik0375,79513,1,24,f,,,89618,8.0,0.0,klein,kurz,inkompetent,still,behindert,mutig,unueblich,couragiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1.0,0.0,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.8666666666666667,0.7333333333333334,0.8666666666666667,1,2,2
136,354,Scne1272,79514,5,22,f,,redundant,199077,8.0,0.0,freundlich,warmherzig,wuetend,opportunistisch,unabhaengig,herzlos,beliebt,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,0.75,0.25,0.06666666666666667,0.3333333333333333,0.0,0.9333333333333333,0.6666666666666667,1.0,3,1,1
137,52,SCNE2759,76762,5,22,f,,redundant,81326,7.0,0.0,opportunistisch,talentiert,froehlich,religioes,unbeirrbar,heftig,wundervoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,1.0,0.0,0.06666666666666667,0.4,0.0,0.9333333333333333,0.6,1.0,2,0,3
138,57,MHarsini,76778,4,28,f,,,24154,3.0,0.0,froh,gluecklich,sicher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0.3333333333333333,0.6666666666666667,0.0,0.0,0.06666666666666667,1.0,1.0,0.9333333333333333,0,0,0
139,360,1,79527,5,25,f,0.0,redundant,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0
140,376,1,79530,2,25,f,,redundant,61363,10.0,1.0,klug,dumm,asozial,klein,sympathisch,simpel,attraktiv,zaertlich,kurz,klug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,0.7777777777777778,0.2222222222222222,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.8666666666666667,0.6666666666666667,0.9333333333333333,2,2,1
141,361,Juan0363,79531,1,23,f,,,9503,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0
142,369,2304,79544,3,20,f,0.0,redundant,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0
143,370,2304,79545,6,20,f,,redundant,56141,2.0,0.0,opportunistisch,unfreundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.5,0.5,0.06666666666666667,0.0,0.0,0.9333333333333333,1.0,1.0,0,0,1
144,61,SEAN0471,76797,3,21,f,,,158194,14.0,0.0,klein,deformiert,behindert,unvorhersehbar,pessimistisch,optimistisch,introvertiert,haesslich,asozial,dumm,klug,beschaulich,couragiert,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,1.0,0.0,0.26666666666666666,0.4,0.26666666666666666,0.7333333333333334,0.6,0.7333333333333334,4,5,3
145,116,Altneu67,77206,6,59,f,,,98891,7.0,0.0,wuetend,fromm,egoistisch,opportunistisch,gluecklich,intelligent,religioes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,1.0,0.0,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.7333333333333334,0.9333333333333333,0.8666666666666667,1,1,2
146,66,ZWFR1196,76820,4,23,f,,,78579,10.0,0.0,opportunistisch,fromm,religioes,eigensinnig,talentiert,brilliant,frustriert,gluecklich,wuetend,freundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,1.0,0.0,0.13333333333333333,0.13333333333333333,0.4,0.8666666666666667,0.8666666666666667,0.6,3,1,3
147,73,KAAS0956,76843,2,20,f,,,99537,9.0,0.0,gut,kurz,winzig,durchschnittlich,optimistisch,wertlos,schuechtern,mutig,gemuetlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,1.0,0.0,0.13333333333333333,0.26666666666666666,0.2,0.8666666666666667,0.7333333333333334,0.8,1,1,3
148,75,GÖRT2165,76847,4,22,f,,,95988,5.0,0.0,opportunistisch,wuetend,gluecklich,ungluecklich,tolerant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.8,0.19999999999999996,0.0,0.0,0.26666666666666666,1.0,1.0,0.7333333333333334,0,0,1
149,76,FRER464,76849,1,22,nb,,,57030,13.0,0.0,kurz,winzig,klein,haesslich,ruhig,introvertiert,schuechtern,aufmerksam,ausgeruht,fortschrittlich,mutig,loyal,ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1.0,0.0,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.6666666666666667,0.7333333333333334,0.7333333333333334,5,0,4
150,77,Peay1659,76850,2,29,f,1.0,,15023,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0
